timestamp,current_temp,target_temp,heart_rate,pwm_value,state,error
2026-06-30 01:24:06,2.0,25.0,108,0,WAIT,NONE
2026-06-30 01:35:04,23.1,25.0,120,0,RUNNING,NONE
2026-06-30 01:35:09,23.2,25.0,118,0,RUNNING,NONE
2026-06-30 01:35:14,23.2,25.0,108,0,RUNNING,NONE
2026-06-30 01:35:19,23.2,25.0,106,0,RUNNING,NONE
2026-06-30 01:35:24,23.2,25.0,108,0,RUNNING,NONE
2026-06-30 01:35:29,23.2,25.0,119,0,RUNNING,NONE
2026-06-30 01:35:34,23.2,25.0,107,0,RUNNING,NONE
2026-06-30 01:35:39,23.2,25.0,120,0,RUNNING,NONE
2026-06-30 01:35:44,23.2,25.0,108,0,RUNNING,NONE
2026-06-30 01:35:49,23.1,25.0,117,0,RUNNING,NONE
2026-06-30 01:35:54,23.1,25.0,109,0,RUNNING,NONE
2026-06-30 01:35:59,23.1,25.0,109,0,RUNNING,NONE
2026-06-30 01:36:04,23.1,25.0,112,0,RUNNING,NONE
2026-06-30 01:36:09,23.1,25.0,104,0,RUNNING,NONE
2026-06-30 01:36:14,23.1,25.0,121,0,RUNNING,NONE
2026-06-30 01:36:19,23.1,25.0,106,0,RUNNING,NONE
2026-06-30 01:36:24,23.1,25.0,116,0,RUNNING,NONE
2026-06-30 01:36:29,23.1,25.0,108,0,RUNNING,NONE
2026-06-30 01:36:34,23.1,25.0,115,0,RUNNING,NONE
2026-06-30 01:36:39,23.1,25.0,108,0,RUNNING,NONE
2026-06-30 01:36:44,23.1,25.0,115,0,RUNNING,NONE
2026-06-30 01:36:49,24.0,25.0,113,0,RUNNING,NONE
2026-06-30 01:36:55,24.2,25.0,119,0,RUNNING,NONE
2026-06-30 01:37:00,24.1,25.0,114,0,RUNNING,NONE
2026-06-30 01:37:05,24.1,25.0,113,0,RUNNING,NONE
2026-06-30 01:46:04,22.5,11.0,113,255,RUNNING,NONE
2026-06-30 01:46:09,21.9,11.0,99,255,RUNNING,NONE
2026-06-30 01:46:14,20.4,11.0,107,255,RUNNING,NONE
2026-06-30 01:46:19,21.0,11.0,96,255,RUNNING,NONE
2026-06-30 01:46:24,20.9,11.0,108,255,RUNNING,NONE
2026-06-30 01:46:29,20.0,11.0,93,255,RUNNING,NONE
2026-06-30 01:46:34,19.7,11.0,94,255,RUNNING,NONE
2026-06-30 01:46:39,19.6,11.0,98,255,RUNNING,NONE
2026-06-30 01:46:44,20.9,11.0,94,255,RUNNING,NONE
2026-06-30 01:46:49,21.8,11.0,110,255,RUNNING,NONE
2026-06-30 01:46:54,21.6,11.0,105,255,RUNNING,NONE
2026-06-30 01:46:59,21.2,11.0,97,255,RUNNING,NONE
2026-06-30 01:47:04,20.4,11.0,105,255,RUNNING,NONE
2026-06-30 01:47:09,20.2,11.0,96,255,RUNNING,NONE
2026-06-30 01:47:14,20.1,11.0,92,255,RUNNING,NONE
2026-06-30 01:47:19,20.1,11.0,101,255,RUNNING,NONE
2026-06-30 01:47:24,20.0,11.0,91,255,RUNNING,NONE
2026-06-30 01:47:29,19.9,11.0,108,255,RUNNING,NONE
2026-06-30 01:47:34,19.9,11.0,92,255,RUNNING,NONE
2026-06-30 01:47:39,19.9,11.0,104,255,RUNNING,NONE
2026-06-30 01:47:44,19.8,11.0,90,255,RUNNING,NONE
2026-06-30 01:47:49,19.8,11.0,101,255,RUNNING,NONE
2026-06-30 01:47:54,19.7,11.0,89,255,RUNNING,NONE
2026-06-30 01:47:59,19.7,11.0,94,255,RUNNING,NONE
2026-06-30 01:48:04,19.7,11.0,100,255,RUNNING,NONE
2026-06-30 01:48:09,19.7,11.0,90,255,RUNNING,NONE
2026-06-30 01:48:15,19.7,11.0,97,255,RUNNING,NONE
2026-06-30 01:48:20,19.6,11.0,97,255,RUNNING,NONE
2026-06-30 01:48:25,19.6,11.0,89,255,RUNNING,NONE
2026-06-30 01:48:30,19.6,11.0,98,255,RUNNING,NONE
2026-06-30 01:48:35,19.9,11.0,94,255,RUNNING,NONE
2026-06-30 01:48:40,20.5,11.0,96,255,RUNNING,NONE
2026-06-30 01:48:45,20.2,11.0,102,255,RUNNING,NONE
2026-06-30 01:48:50,20.2,11.0,95,255,RUNNING,NONE
2026-06-30 01:48:55,20.1,11.0,102,255,RUNNING,NONE
2026-06-30 01:49:00,20.1,11.0,92,255,RUNNING,NONE
2026-06-30 01:49:05,20.0,11.0,106,255,RUNNING,NONE
2026-06-30 01:49:10,20.1,11.0,90,255,RUNNING,NONE
2026-06-30 01:49:15,20.1,11.0,102,255,RUNNING,NONE
2026-06-30 01:49:20,20.1,11.0,90,255,RUNNING,NONE
2026-06-30 01:49:25,20.2,11.0,102,255,RUNNING,NONE
2026-06-30 01:49:30,20.4,11.0,92,255,RUNNING,NONE
2026-06-30 01:49:35,20.2,11.0,97,255,RUNNING,NONE
2026-06-30 01:49:40,20.1,11.0,96,255,RUNNING,NONE
2026-06-30 01:49:45,20.0,11.0,93,255,RUNNING,NONE
2026-06-30 01:49:50,20.0,11.0,105,255,RUNNING,NONE
2026-06-30 01:49:55,19.9,11.0,91,255,RUNNING,NONE
2026-06-30 01:50:00,19.8,11.0,105,255,RUNNING,NONE
2026-06-30 01:50:05,19.8,11.0,90,255,RUNNING,NONE
2026-06-30 01:50:10,19.8,11.0,105,255,RUNNING,NONE
2026-06-30 01:50:15,19.7,11.0,91,255,RUNNING,NONE
2026-06-30 01:50:20,19.7,11.0,99,255,RUNNING,NONE
2026-06-30 01:50:25,19.7,11.0,95,255,RUNNING,NONE
2026-06-30 01:50:30,19.6,11.0,88,255,RUNNING,NONE
2026-06-30 01:50:35,19.6,11.0,102,255,RUNNING,NONE
2026-06-30 01:50:40,19.6,11.0,93,255,RUNNING,NONE
2026-06-30 01:50:45,19.6,11.0,89,255,RUNNING,NONE
2026-06-30 01:50:51,19.5,11.0,100,255,RUNNING,NONE
2026-06-30 01:50:56,19.5,11.0,88,255,RUNNING,NONE
2026-06-30 01:51:01,19.5,11.0,103,255,RUNNING,NONE
2026-06-30 01:51:06,19.5,11.0,91,255,RUNNING,NONE
2026-06-30 01:51:11,19.5,11.0,95,255,RUNNING,NONE
2026-06-30 01:51:16,19.5,11.0,95,255,RUNNING,NONE
2026-06-30 01:51:21,19.5,11.0,87,255,RUNNING,NONE
2026-06-30 01:51:26,19.4,11.0,102,255,RUNNING,NONE
2026-06-30 01:51:31,19.4,11.0,89,255,RUNNING,NONE
2026-06-30 01:51:36,19.4,11.0,103,255,RUNNING,NONE
2026-06-30 01:51:41,19.4,11.0,89,255,RUNNING,NONE
2026-06-30 01:51:46,19.4,11.0,99,255,RUNNING,NONE
2026-06-30 01:51:51,19.4,11.0,89,255,RUNNING,NONE
2026-06-30 01:51:56,19.4,11.0,92,255,RUNNING,NONE
2026-06-30 01:52:01,19.4,11.0,95,255,RUNNING,NONE
2026-06-30 01:52:06,19.4,11.0,91,255,RUNNING,NONE
2026-06-30 01:52:11,19.4,11.0,101,255,RUNNING,NONE
2026-06-30 01:52:16,19.4,11.0,89,255,RUNNING,NONE
2026-06-30 01:52:21,19.4,11.0,102,255,RUNNING,NONE
2026-06-30 01:52:26,19.4,11.0,86,255,RUNNING,NONE
