timestamp,current_temp,target_temp,heart_rate,pwm_value,state,error
2026-06-30 01:37:35,23.4,25.0,111,0,WAIT,NONE
2026-06-30 01:37:40,23.4,25.0,114,0,WAIT,NONE
2026-06-30 01:37:45,23.4,25.0,110,0,WAIT,NONE
2026-06-30 01:37:50,23.4,25.0,117,0,WAIT,NONE
2026-06-30 01:37:55,23.4,25.0,108,0,WAIT,NONE
2026-06-30 01:38:00,23.3,25.0,124,0,WAIT,NONE
2026-06-30 01:38:05,23.3,25.0,105,0,WAIT,NONE
2026-06-30 01:38:10,23.3,25.0,120,0,WAIT,NONE
2026-06-30 01:38:15,23.3,25.0,108,0,WAIT,NONE
2026-06-30 01:38:20,23.3,25.0,120,0,WAIT,NONE
2026-06-30 01:38:25,23.3,25.0,108,0,WAIT,NONE
2026-06-30 01:38:30,23.3,25.0,121,0,WAIT,NONE
2026-06-30 01:38:35,23.3,25.0,105,0,WAIT,NONE
2026-06-30 01:38:40,23.3,25.0,112,0,WAIT,NONE
2026-06-30 01:38:45,23.3,25.0,114,0,WAIT,NONE
2026-06-30 01:38:50,23.3,25.0,109,0,WAIT,NONE
2026-06-30 01:38:55,23.2,25.0,121,0,WAIT,NONE
2026-06-30 01:39:00,23.2,25.0,108,0,WAIT,NONE
2026-06-30 01:39:05,23.2,25.0,119,0,WAIT,NONE
2026-06-30 01:39:10,23.2,25.0,106,0,WAIT,NONE
2026-06-30 01:39:15,23.2,25.0,114,0,WAIT,NONE
2026-06-30 01:39:20,23.2,25.0,110,0,WAIT,NONE
2026-06-30 01:39:25,23.2,25.0,108,0,WAIT,NONE
2026-06-30 01:39:30,23.2,25.0,112,0,WAIT,NONE
2026-06-30 01:39:35,23.2,25.0,119,0,WAIT,NONE
2026-06-30 01:39:40,23.2,25.0,113,0,WAIT,NONE
2026-06-30 01:39:45,23.2,25.0,107,0,WAIT,NONE
2026-06-30 01:39:50,23.2,25.0,111,0,WAIT,NONE
2026-06-30 01:39:55,23.2,25.0,117,0,WAIT,NONE
2026-06-30 01:40:00,23.2,25.0,115,0,WAIT,NONE
2026-06-30 01:40:06,23.2,25.0,106,0,WAIT,NONE
2026-06-30 01:40:11,23.2,25.0,112,0,WAIT,NONE
2026-06-30 01:40:16,23.2,25.0,121,0,WAIT,NONE
2026-06-30 01:40:21,23.2,25.0,115,0,WAIT,NONE
2026-06-30 01:40:26,23.2,25.0,104,0,WAIT,NONE
2026-06-30 01:40:31,23.2,25.0,106,0,WAIT,NONE
2026-06-30 01:40:36,23.2,25.0,108,0,WAIT,NONE
2026-06-30 01:40:41,23.2,25.0,116,0,WAIT,NONE
2026-06-30 01:40:46,23.2,25.0,121,0,WAIT,NONE
2026-06-30 01:40:51,23.2,25.0,109,0,WAIT,NONE
2026-06-30 01:40:56,23.2,25.0,105,0,WAIT,NONE
2026-06-30 01:41:01,23.1,25.0,108,0,WAIT,NONE
2026-06-30 01:41:06,23.1,25.0,119,0,WAIT,NONE
2026-06-30 01:41:11,23.2,25.0,116,0,WAIT,NONE
2026-06-30 01:41:16,23.1,25.0,104,0,WAIT,NONE
2026-06-30 01:41:21,23.1,25.0,110,0,WAIT,NONE
2026-06-30 01:41:26,23.1,25.0,119,0,WAIT,NONE
2026-06-30 01:41:31,23.1,25.0,107,0,WAIT,NONE
2026-06-30 01:41:36,23.1,25.0,122,0,WAIT,NONE
2026-06-30 01:41:41,23.1,25.0,106,0,WAIT,NONE
2026-06-30 01:41:46,23.1,25.0,118,0,WAIT,NONE
2026-06-30 01:41:51,23.1,25.0,110,0,WAIT,NONE
2026-06-30 01:41:56,23.1,25.0,107,0,WAIT,NONE
2026-06-30 01:42:01,23.1,25.0,118,0,WAIT,NONE
2026-06-30 01:42:06,23.1,25.0,107,0,WAIT,NONE
2026-06-30 01:42:11,23.1,25.0,121,0,WAIT,NONE
2026-06-30 01:42:16,23.1,25.0,108,0,WAIT,NONE
2026-06-30 01:42:21,23.1,25.0,115,0,WAIT,NONE
2026-06-30 01:42:26,23.1,25.0,110,0,WAIT,NONE
2026-06-30 01:42:31,23.1,25.0,112,0,WAIT,NONE
2026-06-30 01:42:36,23.1,25.0,109,0,WAIT,NONE
2026-06-30 01:42:42,23.1,25.0,115,0,WAIT,NONE
2026-06-30 01:42:47,23.1,25.0,108,0,WAIT,NONE
2026-06-30 01:42:52,23.1,25.0,113,0,WAIT,NONE
2026-06-30 01:42:57,23.1,25.0,109,0,WAIT,NONE
2026-06-30 01:43:02,23.1,25.0,114,0,WAIT,NONE
2026-06-30 01:43:07,23.1,25.0,108,0,WAIT,NONE
2026-06-30 01:43:12,23.1,25.0,118,0,WAIT,NONE
2026-06-30 01:43:17,23.1,25.0,108,0,WAIT,NONE
2026-06-30 01:43:22,23.1,25.0,113,0,WAIT,NONE
2026-06-30 01:43:27,23.1,25.0,109,0,WAIT,NONE
2026-06-30 01:43:32,23.1,25.0,117,0,WAIT,NONE
2026-06-30 01:43:37,23.1,25.0,108,0,WAIT,NONE
2026-06-30 01:43:42,23.1,25.0,121,0,WAIT,NONE
2026-06-30 01:43:47,23.1,25.0,107,0,WAIT,NONE
